CRIMEID,REPORTDATE,LATITUDE,LONGITUDE,ADDRESS,WARD,NEARESTINTKEY,NEARESTINTSTREETNAME,location_quality,location_error_type,severity_score,total_fatalities,total_major_injuries,total_minor_injuries,total_injuries,has_pedestrian,has_bicyclist,has_speeding,has_fatality,has_major_injury
49236112798,2024-09-01 09:40:00+00:00,38.921815,-76.960829,2350 SOUTH DAKOTA AVENUE NE,WARD 5,3a6e88ae9dac8d677d968c955ef7efd8,33RD ST NE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53316040782,2024-12-05 22:00:00+00:00,38.892032,-77.014022,"INTERSTATE 395 INTERSTATE BN
WASHINGTON,",WARD 2,0,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617602596,2024-01-02 19:35:00+00:00,38.827796,-77.01231,4216 MARTIN LUTHER KING JR AVENUE SW,WARD 8,826c1474d6e3926656f42fef18ef3e85,DANBURY ST SW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617649818,2024-01-03 01:40:00+00:00,38.840151,-76.977028,1801 VALLEY TERRACE SE,WARD 8,dd7aeacd1b7054c5b7ce98888e7f8ac5,SOUTHERN AVE SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617735646,2024-01-03 03:00:00+00:00,38.828955,-77.007675,4200 SOUTH CAPITOL STREET SE,WARD 8,e41f0d0d95c24d018d6a52655b9ad315,CHESAPEAKE ST SE,MEDIUM,BLOCKKEY_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617868216,2024-01-03 02:45:00+00:00,38.936105,-77.059331,3522 CONNECTICUT AVENUE NW,WARD 3,e27f638339d196ded9138304032f9d07,PORTER ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53617883840,2024-01-02 22:11:00+00:00,38.909053,-77.042941,1369 CONNECTICUT AVENUE NW,WARD 2,0,,MEDIUM,INTERSECTING_ROUTE_ERROR,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53618141379,2024-01-01 07:00:00+00:00,38.905138,-77.038948,1705 DE SALES STREET NW,WARD 2,256b661ecd991d0d52e0dd63d977cf2f,17TH ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53618234337,2024-01-03 00:55:00+00:00,38.941159,-77.034556,4101 ARKANSAS AVENUE NW,WARD 4,8034d8f93e209c50b62958e459dc9adc,TAYLOR ST NW,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53618697905,2024-01-03 03:10:00+00:00,38.850845,-76.97347,2209 ALABAMA AVENUE SE,WARD 8,3e5051c57aca488d1e68d01660dfa1f6,23RD ST SE,HIGH,NO_ERROR_FLAGGED,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False
53619886094,2024-01-03 09:20:00+00:00,38.878654,-76.933549,4628 H STREET SE,WARD 7,563c777d5efa63e11a87cc243ada47cd,46TH PL SE,HIGH,NO_ERROR_FLAGGED,10.0,0.0,1.0,0.0,1.0,False,False,False,False,True
