NEARESTINTKEY,crash_count,total_severity,total_fatalities,total_major_injuries,total_minor_injuries,total_injuries,ped_crashes,bike_crashes,speeding_crashes,median_lat,median_lon,primary_cross_street,representative_address,rank
Route not found,3499,6724.0,5.0,50.0,1032.0,1082.0,167,75,112,38.902312,-77.006176,ROUTE NOT FOUND,500 INDIANA AVENUE NW,1
0,2492,6201.0,13.0,48.0,868.0,916.0,55,38,120,38.883839,-77.00501,,"INTERSTATE 395 INTERSTATE BN
WASHINGTON,",2
33df66a802baf590a8efa81a92b4fd69,381,532.0,0.0,0.0,71.0,71.0,8,8,7,38.892998,-76.909582,SOUTHERN AVE NE,304 EASTERN AVENUE NE,3
d8ea864b08821604977078ff7b4e1d1f,129,418.0,1.0,2.0,72.0,74.0,0,0,6,38.900133,-76.946866,HAYES ST NE,730 KENILWORTH AVENUE NE,4
f58d995ee2327b19c0ff94910468b1cd,234,389.0,0.0,3.0,58.0,61.0,4,6,0,38.909024,-77.005281,FLORIDA AVE NE,100 NEW YORK AVENUE NE,5
06e2fc6c9cfe39f40ef42c606ea170df,146,315.0,0.0,7.0,46.0,53.0,2,1,4,38.917174,-76.972584,BLADENSBURG RD NE,1925 BLADENSBURG ROAD NE,6
55f8763586b916dc226a8f7792aee3cb,181,311.0,0.0,2.0,51.0,53.0,8,5,2,38.907482,-77.009187,NEW YORK AVE NW,1300 NORTH CAPITOL STREET NW,7
a5c0bf205c22fb999c8dfa52a3b7ff36,107,277.0,1.0,2.0,23.0,25.0,1,0,7,38.853568,-76.983215,SHERIDAN RD SE,2339 SHERIDAN ROAD SE,8
bab0627e3974628730209d498841088e,142,258.0,0.0,2.0,42.0,44.0,2,1,5,38.874467,-76.973704,PENNSYLVANIA AVE SE,2200 FAIRLAWN AVENUE SE,9
11e3c08ea9f1b913b27fbd47f9b9d2d6,16,249.0,2.0,2.0,6.0,8.0,2,0,0,38.866223,-76.943763,SOUTHERN AVE SE,1575 41ST STREET SE,10
7d0b553ad2c24054d8820f87b16c4551,68,244.0,1.0,2.0,25.0,27.0,0,1,3,38.835474,-77.007481,HALLEY PL SE,3790 MARTIN LUTHER KING JR AVENUE SE,11
