CRIMEID,CCN,REPORTDATE,ADDRESS,WARD,LATITUDE,LONGITUDE,location_error_type,severity_score,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,candidate_rank,recovered_nearestintkey,recovered_intersection_name,candidate_street_1,candidate_street_2,matched_distance_m,both_street_score,v3_rerank_score,recovery_confidence
53316040782,23198599,2024-12-05 22:00:00+00:00,"INTERSTATE 395 INTERSTATE BN
WASHINGTON,",WARD 2,38.892032,-77.014022,INTERSECTING_ROUTE_ERROR,1.0,,0.0,EAST,5,0dd5ca6e9aa139bb00d7617838b8b697,INTERSTATE 395 NORTHBOUND AND RAMP TO D STREET NW,INTERSTATE 395,D STREET NW,147.05366565647316,2,52.94633434352684,LOW
53601257003,23211763,2024-01-01 02:30:00+00:00,601 4TH PLACE SW,WARD 6,38.882051,-77.018852,FAR_FROM_CENTERLINE,1.0,ROUTE NOT FOUND,0.0,ROUTE NOT FOUND,4,0f9a43bf6eaad2cfa0a3b54a1cdea439,G STREET SW AND 4TH PLACE SW,G STREET SW,4TH PLACE SW,85.6674154665779,2,114.3325845334221,LOW
53603692193,23211860,2024-01-01 00:30:00+00:00,734 3RD STREET NE,WARD 6,38.899865,-77.00204,BLOCKKEY_ERROR,3.0,H ST NE,37.57,SOUTH,1,69bf16a753c5cdaf739caf9394144a85,3RD STREET NE AND H STREET NE,3RD STREET NE,H STREET NE,37.59615592476382,7,662.4038440752362,HIGH
53605700685,24000115,2024-01-01 07:20:00+00:00,440 K STREET NW,WARD 6,38.902281,-77.017657,BLOCKKEY_ERROR,1.0,4 1/2 ST NW,17.36,EAST,1,49683b56558cdd7e5f1805826aca7085,4 1/2 STREET NW AND K STREET NW,4 1/2 STREET NW,K STREET NW,26.65388381545294,7,673.3461161845471,HIGH
53606049912,24000204,2024-01-01 11:00:00+00:00,2390 SOUTH CAPITOL STREET SE,WARD 8,38.862476,-77.001587,INTERSECTING_ROUTE_ERROR,1.0,,0.0,EAST,1,7960175e1d88670859a76c9d74673c5d,BARRY ROAD SE AND SUMNER ROAD SE,BARRY ROAD SE,SUMNER ROAD SE,138.95038227470346,0,-138.95038227470346,LOW
53607439405,24000292,2024-01-01 17:00:00+00:00,1634 NORTH CAPITOL STREET NW,WARD 5,38.91215,-77.009648,BLOCKKEY_ERROR,3.0,QUINCY PL NW,32.01,NORTH,1,51e431c47a4aa3457600151faf2e5662,NORTH CAPITOL STREET AND QUINCY PLACE NW,NORTH CAPITOL STREET,QUINCY PLACE NW,61.032767200396755,7,638.9672327996033,HIGH
53607628398,23211910,2024-01-01 02:53:00+00:00,2580 FIRTH STERLING AVENUE SE,WARD 8,38.861811,-76.998219,INTERSECTING_ROUTE_ERROR,1.0,,61.16,NORTHEAST,1,4cfdb7a8a37ca6fc8cbcd85ddda1366c,FIRTH STERLING AVENUE SE AND SUMNER ROAD SE,FIRTH STERLING AVENUE SE,SUMNER ROAD SE,61.01545566390139,2,138.98454433609862,LOW
53612446950,24000674,2024-01-02 09:38:00+00:00,685 K STREET NW,WARD 2,38.902617,-77.021644,BLOCKKEY_ERROR,3.0,7TH ST NW,23.74,EAST,1,a61fbbe87065492828e2e7c69924cb96,7TH STREET NW AND K STREET NW,7TH STREET NW,K STREET NW,25.972746496477335,7,674.0272535035226,HIGH
53613300216,24000723,2024-01-02 13:50:00+00:00,1722 NORTH CAPITOL STREET NW,WARD 5,38.913343,-77.009347,BLOCKKEY_ERROR,1.0,RANDOLPH PL NW,14.04,SOUTH,1,ff6834652eac867d2207268d1d07de75,RANDOLPH PLACE NW AND NORTH CAPITOL STREET,RANDOLPH PLACE NW,NORTH CAPITOL STREET,25.80859367677553,7,674.1914063232244,HIGH
53614819052,24000520,2024-01-02 01:00:00+00:00,1500 SOUTH CAPITOL STREET SE,WARD 6,38.872361,-77.009086,BLOCKKEY_ERROR,1.0,P ST SW,36.51,NORTH,1,cd3776d30da39fe3e46cabc139d5c246,P STREET SW AND SOUTH CAPITOL STREET,P STREET SW,SOUTH CAPITOL STREET,36.57189425933479,7,663.4281057406652,HIGH
53616802590,24001014,2024-01-02 23:40:00+00:00,4103 BENNING ROAD NE,WARD 7,38.892686,-76.94332,FAR_FROM_CENTERLINE,3.0,ROUTE NOT FOUND,0.0,ROUTE NOT FOUND,1,c726219d385c08b013e04c1f71e46954,42ND STREET NE AND BENNING ROAD NE,42ND STREET NE,BENNING ROAD NE,67.50618182257199,2,132.493818177428,LOW
53617289878,24001072,2024-01-03 01:48:00+00:00,99 H STREET NE,WARD 6,38.899909,-77.006815,INTERSECTING_ROUTE_ERROR,1.0,,0.0,EAST,3,7b98fcdd9aa07cc62733229807dcf859,H STREET NW AND H STREET NE,H STREET NW,H STREET NE,197.3745684672933,2,2.625431532706699,LOW
53617735646,24001114,2024-01-03 03:00:00+00:00,4200 SOUTH CAPITOL STREET SE,WARD 8,38.828955,-77.007675,BLOCKKEY_ERROR,1.0,CHESAPEAKE ST SE,27.06,SOUTH,1,e41f0d0d95c24d018d6a52655b9ad315,CHESAPEAKE STREET SW AND SOUTH CAPITOL STREET,CHESAPEAKE STREET SW,SOUTH CAPITOL STREET,27.102727495030532,2,172.89727250496946,LOW
53617883840,24001011,2024-01-02 22:11:00+00:00,1369 CONNECTICUT AVENUE NW,WARD 2,38.909053,-77.042941,INTERSECTING_ROUTE_ERROR,1.0,,0.0,EAST,1,c7cb5b33ab7a80779c1714f3a80681ea,DUPONT CIRCLE NW AND CONNECTICUT AVENUE NW,DUPONT CIRCLE NW,CONNECTICUT AVENUE NW,10.995317256752047,2,189.00468274324794,LOW
53620094830,24001198,2024-01-03 10:00:00+00:00,500 INDIANA AVENUE NW,WARD 6,38.894085,-77.018905,FAR_FROM_CENTERLINE,10.0,ROUTE NOT FOUND,0.0,ROUTE NOT FOUND,1,663bf4268099bb6c7f97d647de895ccf,INDIANA AVENUE NW AND 5TH STREET NW,INDIANA AVENUE NW,5TH STREET NW,79.8207577863491,2,120.1792422136509,LOW
