CRIMEID,ADDRESS,WARD,severity_bucket,candidate_rank,candidate_intersectionkey,candidate_name,candidate_street_1,candidate_street_2,candidate_distance_m,true_nearestintkey,is_true_key
66026433919,5002 HAYES STREET NE,WARD 7,pdo,1,eec3f8ec116089b5f9f3e113946742b6,50TH STREET NE AND HAYES STREET NE,50TH STREET NE,HAYES STREET NE,45.854473207635955,eec3f8ec116089b5f9f3e113946742b6,True
66026433919,5002 HAYES STREET NE,WARD 7,pdo,2,d28acc24aad32a6149b754b54aae2fc2,50TH STREET NE AND HAYES STREET NE,50TH STREET NE,HAYES STREET NE,57.78641965699156,eec3f8ec116089b5f9f3e113946742b6,False
66026433919,5002 HAYES STREET NE,WARD 7,pdo,3,618d9b3c78c6f0f4d95d8706f02ff37b,49TH PLACE NE AND HAYES STREET NE,49TH PLACE NE,HAYES STREET NE,60.16382570156693,eec3f8ec116089b5f9f3e113946742b6,False
66026433919,5002 HAYES STREET NE,WARD 7,pdo,4,bff8ad6db126c4a6d9d36885a0518b2e,HAYES STREET NE AND 49TH STREET NE,HAYES STREET NE,49TH STREET NE,137.33005820419328,eec3f8ec116089b5f9f3e113946742b6,False
66026433919,5002 HAYES STREET NE,WARD 7,pdo,5,74c7074eb94cc755a328bc763c55382d,HAYES STREET NE AND 50TH PLACE NE,HAYES STREET NE,50TH PLACE NE,138.16838490575336,eec3f8ec116089b5f9f3e113946742b6,False
61411145262,1200 MASSACHUSETTS AVENUE NW,WARD 2,major,1,d5dfdcf34565f851250af45a1c3c6b92,12TH STREET NW AND MASSACHUSETTS AVENUE NW,12TH STREET NW,MASSACHUSETTS AVENUE NW,21.090302139565477,70df05896c27dbbf205a31da1937915d,False
61411145262,1200 MASSACHUSETTS AVENUE NW,WARD 2,major,2,1fa5242164d63439fcf5541370f45aee,12TH STREET NW AND L STREET NW,12TH STREET NW,L STREET NW,41.62906417435555,70df05896c27dbbf205a31da1937915d,False
61411145262,1200 MASSACHUSETTS AVENUE NW,WARD 2,major,3,70df05896c27dbbf205a31da1937915d,L STREET NW AND MASSACHUSETTS AVENUE NW,L STREET NW,MASSACHUSETTS AVENUE NW,48.20364287786138,70df05896c27dbbf205a31da1937915d,True
61411145262,1200 MASSACHUSETTS AVENUE NW,WARD 2,major,4,8438bbcca0006652cd23f9db69e707d2,11TH STREET NW AND L STREET NW,11TH STREET NW,L STREET NW,89.8105898074771,70df05896c27dbbf205a31da1937915d,False
61411145262,1200 MASSACHUSETTS AVENUE NW,WARD 2,major,5,fe86de764cf50b6d7b378434cab13800,MASSACHUSETTS AVENUE NW AND 11TH STREET NW,MASSACHUSETTS AVENUE NW,11TH STREET NW,91.27276185814662,70df05896c27dbbf205a31da1937915d,False
62040455653,2000 38TH STREET SE,WARD 7,pdo,1,f3a7c7a0ff5ef2117753ea8b1d0dd199,38TH STREET SE AND ALABAMA AVENUE SE,38TH STREET SE,ALABAMA AVENUE SE,20.49384903487338,f3a7c7a0ff5ef2117753ea8b1d0dd199,True
62040455653,2000 38TH STREET SE,WARD 7,pdo,2,f4e871b7ccc5998598d643d2c60aabfd,V STREET SE AND 38TH STREET SE,V STREET SE,38TH STREET SE,86.73717428167328,f3a7c7a0ff5ef2117753ea8b1d0dd199,False
62040455653,2000 38TH STREET SE,WARD 7,pdo,3,8c0b751a54616f36184859333bb16513,PENNSYLVANIA AVENUE SE AND ALABAMA AVENUE SE,PENNSYLVANIA AVENUE SE,ALABAMA AVENUE SE,96.666005685715,f3a7c7a0ff5ef2117753ea8b1d0dd199,False
62040455653,2000 38TH STREET SE,WARD 7,pdo,4,62d5ae98692aa06498050983ab197f14,PENNSYLVANIA AVENUE SE AND 38TH STREET SE,PENNSYLVANIA AVENUE SE,38TH STREET SE,99.08821452721719,f3a7c7a0ff5ef2117753ea8b1d0dd199,False
